zone,index,page,category,confidence,rationale
Zone 5B,91,80,In Favor of proposed Zoning Changes,high,Supports these changes
Zone 5B,92,80,Against proposed Zoning Changes,medium,rejects more business activity
Zone 5B,93,80,Against proposed Zoning Changes,high,opposes reduced parking
Zone 5B,94,80,In Favor of proposed Zoning Changes,high,agrees
Zone 5B,95,80,Against proposed Zoning Changes,high,does not support proposal
Zone 5B,96,81,Against proposed Zoning Changes,high,rejects four and five story buildings
Zone 5B,97,81,Against proposed Zoning Changes,high,opposes mid rise buildings
Zone 5B,98,81,Against proposed Zoning Changes,high,disagrees
Zone 5B,99,81,Against proposed Zoning Changes,high,rejects four stories and parking
Zone 5B,100,81,In Favor of proposed Zoning Changes,medium,seems okay
Zone 5B,101,81,Against proposed Zoning Changes,medium,rejects more people
Zone 5B,102,81,In Favor of proposed Zoning Changes,high,says it makes sense
Zone 5B,103,81,Against proposed Zoning Changes,high,opposes apartment construction
Zone 5B,104,81,Against proposed Zoning Changes,high,cites traffic nightmare
Zone 5B,105,81,Against proposed Zoning Changes,high,against density anywhere
Zone 5B,106,81,Against proposed Zoning Changes,high,dislikes parking assumptions
Zone 5B,107,81,Against proposed Zoning Changes,high,opposes more apartments
Zone 5B,108,81,Against proposed Zoning Changes,high,does not support multifamily
Zone 5B,109,81,Against proposed Zoning Changes,medium,warns not to overwhelm area
Zone 5B,110,81,Against proposed Zoning Changes,high,opposes tall buildings
Zone 5B,111,81,Against proposed Zoning Changes,high,opposes upzoning and parking
Zone 5B,112,81,Against proposed Zoning Changes,high,very opposed
Zone 5B,113,81,Against proposed Zoning Changes,high,strongly disagree
Zone 5B,114,81,Against proposed Zoning Changes,medium,prefers visitors over residents
Zone 5B,115,81,Against proposed Zoning Changes,medium,criticizes increasing density
Zone 5B,116,81,Against proposed Zoning Changes,high,says do not develop
Zone 5B,117,81,Against proposed Zoning Changes,medium,opposes too tall buildings
Zone 5B,118,81,Against proposed Zoning Changes,medium,wants delay until traffic calming
Zone 5B,119,81,In Favor of proposed Zoning Changes,medium,not opposed to changes
Zone 5B,120,81,In Favor of proposed Zoning Changes,high,supports growth and changes
Zone 5B,121,81,Against proposed Zoning Changes,high,opposes due to parking
Zone 5B,122,81,In Favor of proposed Zoning Changes,medium,seems fine
Zone 5B,123,81,In Favor of proposed Zoning Changes,high,agrees with zoning changes
Zone 5B,124,81,In Favor of proposed Zoning Changes,high,agrees with them
Zone 5B,125,81,In Favor of proposed Zoning Changes,high,wants affordable housing
Zone 5B,126,81,In Favor of proposed Zoning Changes,high,calls plan reasonable
Zone 5B,127,81,Against proposed Zoning Changes,medium,wants more parking lots
Zone 5B,128,81,Against proposed Zoning Changes,high,does not like it
Zone 5B,129,81,In Favor of proposed Zoning Changes,high,explicitly in favor
Zone 5B,130,81,Against proposed Zoning Changes,medium,worries about traffic impact
Zone 5B,131,81,In Favor of proposed Zoning Changes,high,in agreement
Zone 5B,132,81,In Favor of proposed Zoning Changes,high,height is ok
Zone 5B,133,81,Against proposed Zoning Changes,high,opposes height and units
Zone 5B,134,82,In Favor of proposed Zoning Changes,high,higher heights are ok
Zone 5B,135,82,Against proposed Zoning Changes,high,opposes parking reduction and affordability
Zone 5B,136,82,Neutral,high,needs more info
Zone 5B,137,82,In Favor of proposed Zoning Changes,medium,accepts Montgomery changes
Zone 5B,138,82,Against proposed Zoning Changes,high,too dense and too little parking
Zone 5B,139,82,Against proposed Zoning Changes,high,no more apartments
Zone 5B,140,82,Against proposed Zoning Changes,high,opposes more housing
Zone 5B,141,82,Neutral,high,unsure
Zone 5B,142,82,Against proposed Zoning Changes,high,against height density parking reduction
Zone 5B,143,82,Against proposed Zoning Changes,high,opposes parking reduction
Zone 5B,144,82,Against proposed Zoning Changes,high,needs more parking
Zone 5B,145,82,Against proposed Zoning Changes,high,opposes height and parking variances
Zone 5B,146,82,In Favor of proposed Zoning Changes,high,agrees with it
Zone 5B,147,82,Against proposed Zoning Changes,high,opposes apartments
Zone 5B,148,82,Against proposed Zoning Changes,medium,cites parking and safety
Zone 5B,149,82,Against proposed Zoning Changes,medium,opposes parking reduction
Zone 5B,150,82,Neutral,low,unclear commercial comment
Zone 5B,151,82,Against proposed Zoning Changes,high,opposes dense development
Zone 5B,152,82,Neutral,low,mixed affordability concern
Zone 5B,153,82,Against proposed Zoning Changes,high,opposes less parking
Zone 5B,154,82,Against proposed Zoning Changes,high,disagrees
Zone 5B,155,82,In Favor of proposed Zoning Changes,medium,ok with it despite question
Zone 5B,156,82,Against proposed Zoning Changes,high,does not approve
Zone 5B,157,82,Against proposed Zoning Changes,medium,concerned about apartment parking
Zone 5B,158,82,Against proposed Zoning Changes,high,opposes five story buildings
Zone 5B,159,82,Against proposed Zoning Changes,high,opposes parking ratio
Zone 5B,160,82,Against proposed Zoning Changes,high,does not agree
Zone 5B,161,83,In Favor of proposed Zoning Changes,high,good in general
Zone 5B,162,83,Against proposed Zoning Changes,medium,opposes reduced parking
Zone 5B,163,83,Against proposed Zoning Changes,high,opposes height and parking change
Zone 5B,164,83,In Favor of proposed Zoning Changes,high,ok with zoning changes
Zone 5B,165,83,Against proposed Zoning Changes,high,does not approve
Zone 5B,166,83,Against proposed Zoning Changes,medium,parking would be problem
Zone 5B,167,83,Against proposed Zoning Changes,high,against the plans
Zone 5B,168,83,Against proposed Zoning Changes,high,opposes high rises
Zone 5B,169,83,Against proposed Zoning Changes,high,opposes height and parking reduction
Zone 5B,170,83,In Favor of proposed Zoning Changes,high,sounds good
Zone 5B,171,83,Against proposed Zoning Changes,high,should not continue as described
Zone 5B,172,83,In Favor of proposed Zoning Changes,high,likes this idea
Zone 5B,173,83,In Favor of proposed Zoning Changes,medium,good with parking concern
Zone 5B,174,83,Against proposed Zoning Changes,high,warns overcrowding
Zone 5B,175,83,Against proposed Zoning Changes,high,opposes additional housing
Zone 5B,176,83,Neutral,low,reference unclear
Zone 5B,177,83,Against proposed Zoning Changes,low,implies loss of character
Zone 5B,178,83,In Favor of proposed Zoning Changes,high,more the better
Zone 5B,179,83,In Favor of proposed Zoning Changes,high,support
Zone 5B,180,83,Against proposed Zoning Changes,medium,opposes attracting lower income residents
Zone 5B,181,83,In Favor of proposed Zoning Changes,high,supports height and mixed use
Zone 5B,182,83,In Favor of proposed Zoning Changes,high,positive response
Zone 5B,183,83,Against proposed Zoning Changes,high,completely oppose it
Zone 5B,184,83,Against proposed Zoning Changes,high,opposes eased parking
Zone 5B,185,83,In Favor of proposed Zoning Changes,high,wants stronger density incentive
Zone 5B,186,83,Against proposed Zoning Changes,high,opposes adding traffic and parking
Zone 5B,187,83,In Favor of proposed Zoning Changes,high,calls changes positive
Zone 5B,188,83,Against proposed Zoning Changes,high,calls changes misuse of power
Zone 5B,189,83,In Favor of proposed Zoning Changes,medium,encourages business growth
Zone 5B,190,83,Against proposed Zoning Changes,high,emphatic no
Zone 5B,191,83,Neutral,high,blank response
Zone 5B,192,83,Against proposed Zoning Changes,high,no way
Zone 5B,193,83,Against proposed Zoning Changes,high,opposes five story buildings
Zone 5B,194,83,Against proposed Zoning Changes,high,opposes tall buildings
Zone 5B,195,83,In Favor of proposed Zoning Changes,high,supports proposed changes
Zone 5B,196,83,In Favor of proposed Zoning Changes,medium,supports density bonus and parking reduction
Zone 5B,197,83,In Favor of proposed Zoning Changes,high,wants more affordable units
Zone 5B,198,83,Against proposed Zoning Changes,medium,opposes diminished parking
Zone 5B,199,84,Against proposed Zoning Changes,high,calls plan poor
Zone 5B,200,84,In Favor of proposed Zoning Changes,medium,seems okay
Zone 5B,201,84,Against proposed Zoning Changes,medium,opposes less parking
Zone 5B,202,84,Against proposed Zoning Changes,high,too tall
Zone 5B,203,84,Against proposed Zoning Changes,high,opposes overbuilding and minimal parking
Zone 5B,204,84,In Favor of proposed Zoning Changes,high,loves proactive change
Zone 5B,205,84,Neutral,high,Non substantive response
Zone 5B,206,84,Against proposed Zoning Changes,high,Opposes parking reduction and affordability
Zone 5B,207,84,Against proposed Zoning Changes,high,Rejects reduced parking and more residents
Zone 5B,208,84,In Favor of proposed Zoning Changes,high,Supports greater height and parking recommendations
Zone 5B,209,84,In Favor of proposed Zoning Changes,medium,Agrees with proposal
Zone 5B,210,84,Neutral,high,Cannot read materials
Zone 5B,211,84,Against proposed Zoning Changes,high,Says no need for five stories
Zone 5B,212,84,In Favor of proposed Zoning Changes,medium,Could accept five stories with affordability
Zone 5B,213,84,Against proposed Zoning Changes,high,Calls proposal poor and rejects parking reduction
Zone 5B,214,84,Against proposed Zoning Changes,high,Calls changes a disaster
Zone 5B,215,84,Against proposed Zoning Changes,high,Vehemently opposed to affordable housing
Zone 5B,216,85,Against proposed Zoning Changes,high,Says zoning changes worsen problems
Zone 5B,217,85,Against proposed Zoning Changes,medium,Criticizes transit oriented development approach
Zone 5B,218,85,Against proposed Zoning Changes,high,Opposes five story structure and traffic
Zone 5B,219,85,Against proposed Zoning Changes,high,Opposes fifth floor density bonus
Zone 5B,220,85,Against proposed Zoning Changes,medium,Rejects lowering development costs
Zone 5B,221,85,Against proposed Zoning Changes,medium,Questions added stories without representation
Zone 5B,222,85,Against proposed Zoning Changes,high,Rejects five stories and reduced parking
Zone 5B,223,85,Against proposed Zoning Changes,high,Says do not reduce parking
Zone 5B,224,85,Against proposed Zoning Changes,high,Rejects YIMBY approach
Zone 5B,225,85,Against proposed Zoning Changes,medium,Negative credibility comment
Zone 5B,226,85,In Favor of proposed Zoning Changes,high,Says proposal makes sense
Zone 5B,227,85,Against proposed Zoning Changes,medium,Says traffic makes area unappealing
Zone 5B,228,85,Against proposed Zoning Changes,high,Rejects reduced parking
Zone 5B,229,86,Against proposed Zoning Changes,high,Rejects fifth story and parking reduction
Zone 5B,230,86,In Favor of proposed Zoning Changes,high,Supports upzoning and parking reform
Zone 5B,231,86,Against proposed Zoning Changes,high,Rejects density push and parking allowances
Zone 5B,232,86,In Favor of proposed Zoning Changes,high,Supports walkable future with traffic calming
Zone 5B,233,86,In Favor of proposed Zoning Changes,high,Says it looks good
Zone 5B,234,86,Against proposed Zoning Changes,high,Opposes further development
Zone 5B,235,86,Against proposed Zoning Changes,high,Says density is out of character
Zone 5B,236,86,Against proposed Zoning Changes,high,Requires at least one parking space
Zone 5B,237,86,Against proposed Zoning Changes,high,Says parking is a non starter
Zone 5B,238,86,In Favor of proposed Zoning Changes,medium,Says it makes sense
Zone 5B,239,86,In Favor of proposed Zoning Changes,medium,Fine with changes with height caveat
Zone 5B,240,86,Against proposed Zoning Changes,high,Rejects lower costs and parking reduction
Zone 5B,241,86,Against proposed Zoning Changes,high,Votes no on density and developer benefits
Zone 5B,242,86,Against proposed Zoning Changes,high,Calls it a bad idea
Zone 5B,243,86,Against proposed Zoning Changes,high,Wants original code kept
Zone 5B,244,86,Against proposed Zoning Changes,high,Strongly not in favor of density
Zone 5B,245,86,Against proposed Zoning Changes,high,Rejects five stories and low income housing
Zone 5B,246,87,In Favor of proposed Zoning Changes,high,Calls recommendations common sense
Zone 5B,247,87,Against proposed Zoning Changes,medium,Calls proposal ridiculous
Zone 5B,248,87,Against proposed Zoning Changes,high,Says leave it alone
Zone 5B,249,87,Against proposed Zoning Changes,high,Against five story buildings
Zone 5B,250,87,Against proposed Zoning Changes,high,Absolutely against proposal
Zone 5B,251,87,Against proposed Zoning Changes,high,Rejects reduced parking ratio
Zone 5B,252,87,Against proposed Zoning Changes,medium,Calls recommendations ridiculous
Zone 5B,253,87,Against proposed Zoning Changes,high,Rejects height increase
Zone 5B,254,87,Against proposed Zoning Changes,high,Rejects density bonus and parking reduction
Zone 5B,255,87,In Favor of proposed Zoning Changes,medium,Says yes
Zone 5B,256,87,In Favor of proposed Zoning Changes,high,Likes the changes
Zone 5B,257,87,Against proposed Zoning Changes,high,Wants three stories or fewer
Zone 5B,258,87,In Favor of proposed Zoning Changes,high,Supports these changes
Zone 5B,259,87,Against proposed Zoning Changes,high,Strongly against proposal
Zone 5B,260,87,Against proposed Zoning Changes,high,Not in favor
Zone 5B,261,87,Against proposed Zoning Changes,medium,Objects to affordable housing narrative
Zone 5B,262,87,In Favor of proposed Zoning Changes,medium,Supports dense apartments along Montgomery
Zone 5B,263,87,Against proposed Zoning Changes,high,Says harmful to character
Zone 5B,264,87,Against proposed Zoning Changes,high,Says nobody wants it
Zone 5B,265,87,Against proposed Zoning Changes,high,Opposes proposed apartments
Zone 5B,266,87,In Favor of proposed Zoning Changes,medium,Fine with Montgomery development
Zone 5B,267,87,Against proposed Zoning Changes,high,Rejects four story buildings
Zone 5B,268,87,In Favor of proposed Zoning Changes,medium,Says it is acceptable
Zone 5B,269,87,Against proposed Zoning Changes,high,Calls proposal nonsense
Zone 5B,270,87,Neutral,high,Blank response
Zone 5B,271,88,Against proposed Zoning Changes,high,Rejects parking reduction
Zone 5B,272,88,Against proposed Zoning Changes,high,Says changes harm livability
Zone 5B,273,88,Against proposed Zoning Changes,high,Rejects reducing parking below one
Zone 5B,274,88,In Favor of proposed Zoning Changes,high,Supports repurposing areas
Zone 5B,275,88,In Favor of proposed Zoning Changes,high,Calls it a great idea
Zone 5B,276,88,Against proposed Zoning Changes,medium,Negative overall reaction
Zone 5B,277,88,Against proposed Zoning Changes,medium,Concerned about home values
Zone 5B,278,88,Against proposed Zoning Changes,high,Vehemently opposes multipurpose buildings
Zone 5B,279,88,In Favor of proposed Zoning Changes,high,Says very good
Zone 5B,280,88,Against proposed Zoning Changes,high,Raises parking problem and empty buildings
Zone 5B,281,88,Against proposed Zoning Changes,high,Does not support changes
Zone 5B,282,88,In Favor of proposed Zoning Changes,high,Loves plan as progress
Zone 5B,283,88,Against proposed Zoning Changes,medium,Rejects affordable housing recommendation
Zone 5B,284,88,Against proposed Zoning Changes,high,Opposes development without more parking
Zone 5B,285,88,Against proposed Zoning Changes,high,Calls parking reduction insane
Zone 5B,286,88,Against proposed Zoning Changes,high,Strongly opposes zoning changes
Zone 5B,287,88,In Favor of proposed Zoning Changes,medium,Says makes sense with environmental caveat
Zone 5B,288,88,Against proposed Zoning Changes,high,Requires one parking space per unit
Zone 5B,289,88,Neutral,high,States housing preference only
Zone 5B,290,88,Against proposed Zoning Changes,high,Says stop building apartments
Zone 5B,291,88,Against proposed Zoning Changes,high,Opposes if reduced parking is included
Zone 5B,292,88,In Favor of proposed Zoning Changes,high,Supports density and accessibility
Zone 5B,293,88,Against proposed Zoning Changes,high,Would not support added stories
Zone 5B,294,89,Against proposed Zoning Changes,high,Rejects parking requirement reduction
Zone 5B,295,89,Against proposed Zoning Changes,medium,Concerned about height and traffic
Zone 5B,296,89,In Favor of proposed Zoning Changes,medium,Encourages development there
Zone 5B,297,89,Against proposed Zoning Changes,high,Says no taller buildings needed
Zone 5B,298,89,Against proposed Zoning Changes,medium,Questions need for expansion
Zone 5B,299,89,In Favor of proposed Zoning Changes,high,Supports denser development
Zone 5B,300,89,In Favor of proposed Zoning Changes,high,One hundred percent support
Zone 5B,301,89,In Favor of proposed Zoning Changes,high,Supports densification
Zone 5B,302,89,In Favor of proposed Zoning Changes,high,Supports upzoning for housing and businesses
Zone 5B,303,89,In Favor of proposed Zoning Changes,high,Strongly supports
